entity,country,title,pdf_url
California Baptist University,United States,2021-2022 Graduate Catalog - California Baptist University,https://catalog.calbaptist.edu/mime/media/16/1418/2021-2022+Graduate+Catalog+(08-30-21).pdf
Stevenson University,United States,STUDENT POLICIES,https://www.stevenson.edu/wp-content/uploads/policy-manual-volume-5.pdf
Marine Biological Laboratory,United States,BIOSAFETY MANUAL,https://www.mbl.edu/sites/default/files/2022-04/MBL%20Biosafety%20Manual%202022%20Final%204-6-22%20EHJ.pdf
Maryville University,United States,Residential Life Living Guide | Maryville University,https://www.maryville.edu/policies/wp-content/uploads/sites/46/2020/07/Residential-Life-Living-Guide-2020-2021-Reduced-file.pdf
University of Mississippi Medical Center,United States,2023-2024 Faculty and Staff Handbook,https://www.umc.edu/common/files/institutional%20files/facultystaffhandbook.pdf
University of Central Oklahoma,United States,CODE OF STUDENT CONDUCT - Edmond,https://www.uco.edu/offices/student-conduct/files/codeofconduct-webfile.pdf
Keiser University,United States,KU-Graduate-Catalog.pdf,https://www.keiseruniversity.edu/wp-content/uploads/catalogs/KU-Graduate-Catalog.pdf
Indian River State College,United States,I R S C,https://esweb.irsc.edu/Mariner/Doc/IRSCFall2014Schedule.pdf
Barnard College,United States,HANDBOOK FOR FACULTY AT BARNARD COLLEGE,https://portal.barnard.edu/sites/default/files/2021-06/Faculty%20Handbook.pdf
Thomas Edison State University,United States,STUDENT HANDBOOK for Guided Study Courses,https://www2.tesu.edu/dial/GS/manual/AY1617/Handbook_2016-17.pdf
California Southern University,United States,CALIFORNIA SOUTHERN UNIVERSITY,https://www.calsouthern.edu/catalog.pdf
University of La Verne,United States,ABA Student Handbook,https://law.laverne.edu/students/wp-content/uploads/sites/15/2021/11/ABA-Student-Handbook.pdf
University of the People,United States,University of the People,https://catalog.uopeople.edu/wp-content/uploads/2022/11/Grad-Catalog-Addendum-AY2022-23-Updated.pdf
Touro College,United States,Graduate School of Education Student Handbook,https://gse.touro.edu/media/schools-and-colleges/graduate-school-of-education/forms/GSE_2021_2022_Student_Handbook.pdf
New Jersey City University,United States,Department Of Counselor Education Student Handbook,https://www.njcu.edu/doc/handbook2022-couned
Lander University,United States,Lander University Student Handbook (2023-2024),https://www.lander.edu/campus-life/_documents/Student-Handbook-2023-2024-c.pdf
SUNY Maritime College,United States,Credit hour policy,https://www.sunymaritime.edu/sites/default/files/2021-02/2020-21%20SUNY%20Maritime%20College%20Catalog%201.12.21.pdf
Lesley University,United States,School of Practical Art Course Catalog (1948-1949),https://digitalcommons.lesley.edu/cgi/viewcontent.cgi?article=1014&context=aibcourse_catalogs
Laurus College,United States,Untitled,http://www.lauruscollege.edu/wp-content/uploads/2015/06/Laurus-College-Campus-Safety-Policies.pdf
National Park College,United States,as IN BUSINESS AND bs IN BUSINESS ECONOMICS,https://catalog.np.edu/mime/media/12/1415/NPC+Degree+Business+Technology.pdf
Oklahoma Christian University,United States,2021-2022 Student Handbook.docx,https://myocfiles.oc.edu/files/services/Student_Services/Student_Handbook.pdf
SANS Technology Institute,United States,SANS Technology Institute - 2024 Student Handbook,https://www.sans.edu/media/SANS.edu-Student-Handbook.pdf
